lr,dropout,weight_decay,hidden_layers,val_rmse
0.001,0.2,0.0001,"[256, 128, 64]",669.3664
0.001,0.2,0.0001,"[128, 64]",685.5308
0.001,0.2,0.001,"[256, 128, 64]",618.3041
0.001,0.2,0.001,"[128, 64]",695.5265
0.001,0.4,0.0001,"[256, 128, 64]",688.9459
0.001,0.4,0.0001,"[128, 64]",694.9524
0.001,0.4,0.001,"[256, 128, 64]",741.1146
0.001,0.4,0.001,"[128, 64]",697.6882
0.0001,0.2,0.0001,"[256, 128, 64]",697.9744
0.0001,0.2,0.0001,"[128, 64]",1103.2046
0.0001,0.2,0.001,"[256, 128, 64]",690.2691
0.0001,0.2,0.001,"[128, 64]",1103.4123
0.0001,0.4,0.0001,"[256, 128, 64]",726.4473
0.0001,0.4,0.0001,"[128, 64]",1102.7422
0.0001,0.4,0.001,"[256, 128, 64]",733.0135
0.0001,0.4,0.001,"[128, 64]",1102.3931
